Month,ProductID,Product,UnitsSold
2023-01,24,Lip Balm,55
2023-02,24,Lip Balm,42
2023-03,24,Lip Balm,56
2023-04,24,Lip Balm,61
2023-05,24,Lip Balm,78
2023-06,24,Lip Balm,53
2023-07,24,Lip Balm,98
2023-08,24,Lip Balm,37
2023-09,24,Lip Balm,119
2023-10,24,Lip Balm,121
2023-11,24,Lip Balm,106
2023-12,24,Lip Balm,90
2024-01,24,Lip Balm,57
2024-02,24,Lip Balm,97
2024-03,24,Lip Balm,37
2024-04,24,Lip Balm,35
2024-05,24,Lip Balm,105
2024-06,24,Lip Balm,90
2024-07,24,Lip Balm,79
2024-08,24,Lip Balm,76
2024-09,24,Lip Balm,49
2024-10,24,Lip Balm,63
2024-11,24,Lip Balm,126
2024-12,24,Lip Balm,55
