Month,Sales
1964-01-01,2815.0
1964-02-01,2672.0
1964-03-01,2755.0
1964-04-01,2721.0
1964-05-01,2946.0
1964-06-01,3036.0
1964-07-01,2282.0
1964-08-01,2212.0
1964-09-01,2922.0
1964-10-01,4301.0
1964-11-01,5764.0
1964-12-01,7312.0
1965-01-01,2541.0
1965-02-01,2475.0
1965-03-01,3031.0
1965-04-01,3266.0
1965-05-01,3776.0
1965-06-01,3230.0
1965-07-01,3028.0
1965-08-01,1759.0
1965-09-01,3595.0
1965-10-01,4474.0
1965-11-01,6838.0
1965-12-01,8357.0
1966-01-01,3113.0
1966-02-01,3006.0
1966-03-01,4047.0
1966-04-01,3523.0
1966-05-01,3937.0
1966-06-01,3986.0
1966-07-01,3260.0
1966-08-01,1573.0
1966-09-01,3528.0
1966-10-01,5211.0
1966-11-01,7614.0
1966-12-01,9254.0
1967-01-01,5375.0
1967-02-01,3088.0
1967-03-01,3718.0
1967-04-01,4514.0
1967-05-01,4520.0
1967-06-01,4539.0
1967-07-01,3663.0
1967-08-01,1643.0
1967-09-01,4739.0
1967-10-01,5428.0
1967-11-01,8314.0
1967-12-01,10651.0
1968-01-01,3633.0
1968-02-01,4292.0
1968-03-01,4154.0
1968-04-01,4121.0
1968-05-01,4647.0
1968-06-01,4753.0
1968-07-01,3965.0
1968-08-01,1723.0
1968-09-01,5048.0
1968-10-01,6922.0
1968-11-01,9858.0
1968-12-01,11331.0
1969-01-01,4016.0
1969-02-01,3957.0
1969-03-01,4510.0
1969-04-01,4276.0
1969-05-01,4968.0
1969-06-01,4677.0
1969-07-01,3523.0
1969-08-01,1821.0
1969-09-01,5222.0
1969-10-01,6872.0
1969-11-01,10803.0
1969-12-01,13916.0
1970-01-01,2639.0
1970-02-01,2899.0
1970-03-01,3370.0
1970-04-01,3740.0
1970-05-01,2927.0
1970-06-01,3986.0
1970-07-01,4217.0
1970-08-01,1738.0
1970-09-01,5221.0
1970-10-01,6424.0
1970-11-01,9842.0
1970-12-01,13076.0
1971-01-01,3934.0
1971-02-01,3162.0
1971-03-01,4286.0
1971-04-01,4676.0
1971-05-01,5010.0
1971-06-01,4874.0
1971-07-01,4633.0
1971-08-01,1659.0
1971-09-01,5951.0
1971-10-01,6981.0
1971-11-01,9851.0
1971-12-01,12670.0
1972-01-01,4348.0
1972-02-01,3564.0
1972-03-01,4577.0
1972-04-01,4788.0
1972-05-01,4618.0
1972-06-01,5312.0
1972-07-01,4298.0
1972-08-01,1413.0
1972-09-01,5877.0
